"prompt","task_type","answer"
"Please scale this recipe for orzo salad for 6 people down to 2 people.\n\nIngredients for 6 servings:\n- 1 lb orzo pasta\n- 1 cup crumbled feta cheese\n- 1 cup chopped cucumbers\n- 1/2 cup vinaigrette","recipe_scaling","Ingredients for 2 servings:\n- 1/3 lb orzo pasta\n- 1/3 cup crumbled feta cheese\n- 1/3 cup chopped cucumbers\n- 2.7 tbsp vinaigrette"
"I'm making a pasta sauce that requires tomato paste for depth. I don't have any. Can I use ketchup instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, ketchup is not a suitable substitute for tomato paste. Ketchup contains sugar, vinegar, and other spices, which would fundamentally alter the flavor of your sauce. Tomato paste is concentrated, unsweetened tomato."" }"
"I made fresh pasta dough, but it's tough and not very elastic after resting. I used flour and eggs. What process step did I likely not do for long enough?","missing_ingredient_identification","You likely did not **knead the dough** for long enough. Kneading is the crucial step that develops the gluten network, giving the pasta its elasticity and smooth texture. It typically requires 8-10 minutes of continuous kneading."
"Please scale this recipe for a tuna and olive pasta sauce for 2 people up to 6 people.\n\nIngredients for 2 servings:\n- 1 can (5oz) tuna in oil\n- 1/2 cup chopped olives\n- 2 cloves garlic\n- 1 cup cherry tomatoes","recipe_scaling","Ingredients for 6 servings:\n- 3 cans (5oz) tuna in oil\n- 1.5 cups chopped olives\n- 6 cloves garlic\n- 3 cups cherry tomatoes"
"I am making fresh gnocchi. The recipe calls for Russet potatoes. Can I use waxy potatoes like Red Bliss or Yukon Gold?","substitution_validation","{ ""valid"": false, ""explanation"": ""It is not recommended. Russet potatoes are starchy and dry, which is ideal for creating light, fluffy gnocchi. Waxy potatoes have a higher moisture content, which would require you to add much more flour, resulting in dense, heavy, and gummy gnocchi."" }"
"I'm making Pasta alla Puttanesca. I have tomatoes, olives, capers, and garlic. The flavor is good, but it's missing a key salty/briny element. What did I omit?","missing_ingredient_identification","You omitted the **anchovy fillets**. They are essential to a traditional Puttanesca, as they melt into the sauce and provide a deep umami and savory flavor."
"Please scale this recipe for a creamy chicken and broccoli pasta for 4 people up to 10 people.\n\nIngredients for 4 servings:\n- 1 lb pasta\n- 2 chicken breasts\n- 1 head of broccoli\n- 2 cups heavy cream","recipe_scaling","Ingredients for 10 servings:\n- 2.5 lbs pasta\n- 5 chicken breasts\n- 2.5 heads of broccoli\n- 5 cups heavy cream"
"I am making a lasagna. Can I use no-boil lasagna sheets interchangeably with regular lasagna sheets that require boiling?","substitution_validation","{ ""valid"": false, ""explanation"": ""They are not directly interchangeable. No-boil sheets are thinner and are designed to absorb liquid from the sauce to cook. To use them successfully, you must ensure your sauces are slightly more liquid than usual. Using them in a dry recipe will result in crunchy, undercooked noodles."" }"
"My pasta dish with Italian sausage and peppers tastes good, but a bit one-dimensional. What herb is commonly used to add a fresh, aromatic finish?","missing_ingredient_identification","You are likely missing fresh **basil** or **parsley**. A handful of chopped fresh herbs stirred in at the end can dramatically brighten and elevate the dish."
"Please scale down this recipe for a large pot of Pasta e Fagioli for 12 people to serve 3.\n\nIngredients for 12 servings:\n- 1 lb ditalini pasta\n- 4 cans cannellini beans\n- 8 cups chicken broth\n- 2 large carrots","recipe_scaling","Ingredients for 3 servings:\n- 1/4 lb ditalini pasta\n- 1 can cannellini beans\n- 2 cups chicken broth\n- 1/2 of a large carrot"
"I'm making a butter-based sauce, and the recipe says to 'emulsify' it with pasta water. Can I just use regular tap water?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, regular water will not work. The key to emulsifying the sauce is the **starch** released from the pasta into the cooking water. This starch acts as a binder, allowing the fat (butter/oil) and water to combine into a creamy, non-greasy sauce."" }"
"I'm making a pesto, but I'm allergic to pine nuts. What is another type of nut I can use to achieve a similar creamy texture?","missing_ingredient_identification","You can use **cashews** or **walnuts**. Walnuts will provide a more earthy flavor, while cashews (when soaked) can provide an even creamier, milder texture than the original pine nuts."
"Please scale up this recipe for a simple Pasta e Ceci (chickpeas) for 2 people to serve 6.\n\nIngredients for 2 servings:\n- 1/2 cup small pasta\n- 1 can (15oz) chickpeas\n- 2 cups vegetable broth\n- 1 clove garlic","recipe_scaling","Ingredients for 6 servings:\n- 1.5 cups small pasta\n- 3 cans (15oz) chickpeas\n- 6 cups vegetable broth\n- 3 cloves garlic"
"I'm making a classic Bolognese. The recipe says to add a cup of whole milk and let it reduce. Can I use heavy cream to make it richer?","substitution_validation","{ ""valid"": false, ""explanation"": ""While it would make the sauce rich, it's not a traditional or recommended substitution. The milk is used to tenderize the meat and add a subtle sweetness. Heavy cream has a much higher fat content which would result in a greasy sauce with a different final texture."" }"
"My pasta sauce is too acidic from the tomatoes. I've already salted it. What can I add to balance the flavor?","missing_ingredient_identification","You can add a small amount of **sugar** or a rich fat like **butter**. A pinch of sugar will directly counteract the acidity. A tablespoon of butter will add richness and mellow out the sharp acidic flavor."
"Please scale this recipe for a lemon and ricotta pasta sauce from 4 servings down to a single serving.\n\nIngredients for 4 servings:\n- 1 lb pasta\n- 1.5 cups whole-milk ricotta\n- 1 whole lemon (zest and juice)\n- 1/2 cup grated Parmesan","recipe_scaling","Ingredients for 1 serving:\n- 1/4 lb pasta\n- 6 tbsp whole-milk ricotta\n- 1/4 of a lemon (zest and juice)\n- 2 tbsp grated Parmesan"
"I am making a Sicilian pasta dish that calls for 'bottarga' to be grated on top. Can I use grated Parmesan cheese instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, they are not interchangeable. Bottarga is cured fish roe with a unique, intensely savory, and briny flavor. Parmesan is a hard cheese with a nutty, salty flavor. Substituting it would completely change the dish from a sea-based flavor to a dairy-based one."" }"
"I am making a white clam sauce (Spaghetti alle Vongole in Bianco). I have clams, wine, garlic, and parsley. What ingredient can I add to give the sauce a little kick?","missing_ingredient_identification","You can add a pinch of **red pepper flakes** (peperoncino). A little bit of heat is a classic addition that beautifully complements the briny clams and garlic."
"Please scale this recipe for a spicy Arrabbiata sauce for 4 people up to 12 people.\n\nIngredients for 4 servings:\n- 1 (28oz) can crushed tomatoes\n- 6 cloves garlic\n- 2 tsp red pepper flakes\n- 1/2 cup fresh basil","recipe_scaling","Ingredients for 12 servings:\n- 3 (28oz) cans crushed tomatoes\n- 18 cloves garlic\n- 6 tsp (2 tbsp) red pepper flakes\n- 1.5 cups fresh basil"
"I'm making a lasagna and have run out of mozzarella for the top layer. Can I use shredded provolone instead?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, provolone is an excellent substitute for mozzarella on lasagna. It melts beautifully and will provide a slightly sharper, more piquant flavor than mild mozzarella."" }"
"My carbonara is a bit bland. I used pancetta, eggs, and Parmesan. What traditional ingredient would add more depth and funk?","missing_ingredient_identification","You used Parmesan instead of the traditional **Pecorino Romano** cheese, and pancetta instead of **guanciale**. Pecorino is sharper and saltier, and guanciale has a more complex, funky, cured flavor than pancetta, both of which would add significant depth."
"Please scale this recipe for a cold soba noodle salad for 2 people up to 8 people.\n\nIngredients for 2 servings:\n- 6 oz soba noodles\n- 1/4 cup soy sauce\n- 2 tbsp rice vinegar\n- 1 tbsp sesame oil","recipe_scaling","Ingredients for 8 servings:\n- 24 oz (1.5 lbs) soba noodles\n- 1 cup soy sauce\n- 1/2 cup rice vinegar\n- 1/4 cup sesame oil"
"I'm making fresh pasta and the recipe calls for a whole egg. Can I use only egg yolks to make the dough richer?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can use only egg yolks. This will create an exceptionally rich, tender, and deeply yellow pasta dough. You may need to add a small amount of water or olive oil to get the dough to come together, as you've removed the water content from the egg whites."" }"
"I am making pasta with a simple sauce of cherry tomatoes and garlic. The sauce tastes fine, but it's not clinging to the spaghetti. What did I forget to do?","missing_ingredient_identification","You likely forgot to finish cooking the pasta **in the sauce** with a splash of **pasta water**. Tossing the al dente pasta directly into the sauce pan with some of its cooking water for the final minute allows the starch to bind the sauce to the pasta."
"Please scale this recipe for a simple pesto-cream sauce for 4 people down to 2 people.\n\nIngredients for 4 servings:\n- 1 cup heavy cream\n- 1/2 cup prepared pesto\n- 1/2 cup grated Parmesan","recipe_scaling","Ingredients for 2 servings:\n- 1/2 cup heavy cream\n- 1/4 cup prepared pesto\n- 1/4 cup grated Parmesan"
"I'm making a pasta dish that calls for anchovy paste. I only have whole anchovy fillets in oil. Can I use them?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can absolutely use whole anchovy fillets. Simply mince them with a knife until they form a paste-like consistency. Two anchovy fillets are roughly equivalent to one teaspoon of anchovy paste."" }"
"I am making a Roman-style tripe and tomato sauce to serve with rigatoni. I have tripe, tomatoes, and soffritto. What herb is essential to this dish for its unique, minty aroma?","missing_ingredient_identification","You are missing wild **mint** (mentuccia). It is the signature herb in this Roman dish, providing a fresh counterpoint to the rich tripe and tomato sauce."
"Please scale this recipe for a simple ragu for 6 people up to a large batch for 18 people.\n\nIngredients for 6 servings:\n- 1.5 lbs ground beef\n- 1 large onion\n- 1 cup red wine\n- 2 (28oz) cans tomatoes","recipe_scaling","Ingredients for 18 servings:\n- 4.5 lbs ground beef\n- 3 large onions\n- 3 cups red wine\n- 6 (28oz) cans tomatoes"
"A recipe for a pasta sauce requires a 'pinch of saffron'. I don't have any. Can I use turmeric for a similar flavor?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, this is not a good substitution for flavor. Turmeric will provide a similar yellow color, but its flavor is earthy and pungent, whereas saffron has a unique floral and honey-like taste. The flavor profiles are completely different."" }"
"My pasta dough is too sticky and difficult to handle. I used the correct ratio of flour and eggs. What did I forget to use on my hands and work surface?","missing_ingredient_identification","You forgot to use a light dusting of **flour** or **semolina**. A small amount of flour on your hands and the work surface prevents the sticky dough from adhering, making it much easier to knead and roll."
"Please scale down this recipe for a pasta frittata (using leftover pasta) for 8 people to 2 people.\n\nIngredients for 8 servings:\n- 1 lb leftover spaghetti\n- 12 eggs\n- 2 cups shredded cheese\n- 1 cup milk","recipe_scaling","Ingredients for 2 servings:\n- 1/4 lb leftover spaghetti\n- 3 eggs\n- 1/2 cup shredded cheese\n- 1/4 cup milk"
"I'm making Pad Thai, and the recipe calls for rice noodles. Can I use regular Italian spaghetti?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, this substitution would not work well. Rice noodles are gluten-free and have a distinct chewy texture that absorbs the sauce differently. Wheat-based spaghetti has a completely different texture and flavor that is not suitable for Pad Thai."" }"
"I'm making a pasta dish with asparagus. I have the pasta and asparagus spears. What salty, savory ingredient is often shaved over the top to finish the dish?","missing_ingredient_identification","You are likely missing shaved **Parmigiano-Reggiano** or **Pecorino** cheese. Its salty, nutty flavor provides a perfect savory counterpoint to the fresh, green taste of asparagus."
"Please scale this recipe for a clam sauce for 2 lbs of linguine down to 0.5 lbs of linguine.\n\nIngredients for 2 lbs linguine:\n- 4 lbs fresh clams\n- 1.5 cups white wine\n- 1 head of garlic, sliced\n- 1 bunch of parsley","recipe_scaling","Ingredients for 0.5 lbs linguine:\n- 1 lb fresh clams\n- 6 tbsp white wine\n- 1/4 head of garlic (3-4 cloves), sliced\n- 1/4 bunch of parsley"
"My Bolognese recipe says to add a parmesan rind to the sauce while it simmers. Can I just add more grated parmesan at the end instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""While adding grated parmesan at the end is delicious, it's not a substitute for simmering with the rind. The rind doesn't melt; it slowly releases a deep, savory, umami flavor into the sauce over a long cooking time, which you cannot replicate by adding cheese at the end."" }"
"I'm making a pasta dish that calls for a gremolata topping. I have chopped parsley and garlic. What is the third, essential ingredient for a classic gremolata?","missing_ingredient_identification","You are missing **lemon zest**. A classic gremolata is a mixture of fresh parsley, garlic, and lemon zest, which provides a bright, aromatic, and zesty finish to rich dishes."
"Please scale this simple broccoli and anchovy pasta sauce for 4 people up to 10 people.\n\nIngredients for 4 servings:\n- 1 large head of broccoli\n- 6 anchovy fillets\n- 4 cloves of garlic","recipe_scaling","Ingredients for 10 servings:\n- 2.5 large heads of broccoli\n- 15 anchovy fillets\n- 10 cloves of garlic"
"I am making a baked pasta dish that calls for fontina cheese for its melting quality. Can I use feta cheese instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, feta is not a good substitute for fontina in a baked dish. Fontina is a semi-soft cheese that melts smoothly and becomes creamy. Feta is a brined cheese that does not melt well; it will become soft but remain crumbly and will be intensely salty."" }"
"My pasta sauce is rich, but it lacks a 'meaty,' savory depth. I've used tomatoes, onion, and garlic. What concentrated, umami-rich ingredient in a tube could I add?","missing_ingredient_identification","You could add **tomato paste** or **anchovy paste**. Tomato paste adds concentrated tomato flavor, while anchovy paste dissolves and adds a deep, savory (umami) complexity without tasting fishy."
"Please scale this recipe for pasta with lentils for 8 people down to 2 people.\n\nIngredients for 8 servings:\n- 1 lb short pasta\n- 2 cups brown lentils\n- 8 cups vegetable broth\n- 2 carrots, diced","recipe_scaling","Ingredients for 2 servings:\n- 1/4 lb short pasta\n- 1/2 cup brown lentils\n- 2 cups vegetable broth\n- 1/2 carrot, diced"
"I'm making a carbonara-style dish with asparagus. The recipe calls for egg yolks to make the sauce creamy. Can I use a cornstarch slurry (cornstarch and water) to create a creamy sauce instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, this would fundamentally change the dish. The creaminess in a carbonara comes from the rich flavor and emulsifying properties of egg yolk and cheese. A cornstarch slurry would create a thickened, glossy sauce, but it would lack the flavor and richness of the original, resulting in a bland, starchy coating."" }"
"I'm making a simple pasta with sundried tomatoes and garlic. The flavor is intense but feels like it's missing a fresh element. What herb is commonly paired with sundried tomatoes?","missing_ingredient_identification","You are likely missing fresh **basil**. Its sweet, peppery flavor is a classic pairing that cuts through the intense, concentrated flavor of the sundried tomatoes."
"Please scale this recipe for a large batch of fresh cavatelli dough for 10 people down to 2 people.\n\nIngredients for 10 servings:\n- 5 cups semolina flour\n- 2.5 cups warm water\n- 2 tsp salt","recipe_scaling","Ingredients for 2 servings:\n- 1 cup semolina flour\n- 1/2 cup warm water\n- 1/2 tsp salt (a generous pinch)"
"I'm making a pesto and the recipe calls for walnuts. I only have pecans. Can I substitute them?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, pecans can be a delicious substitute for walnuts in pesto. They are slightly sweeter and have a more buttery flavor, which will create a very rich and interesting variation of the sauce."" }"
"I am making a traditional lasagna. My meat sauce is perfect, but I don't have the ingredients for a béchamel. What Italian cheese is used to make the creamy layers instead?","missing_ingredient_identification","You can use **ricotta cheese**. In many Italian-American and Southern Italian lasagnas, ricotta is mixed with egg and parsley to form the creamy layers instead of a béchamel sauce."
"Please scale this recipe for pasta with a spicy crab sauce from 4 servings up to 10 servings.\n\nIngredients for 4 servings:\n- 1 lb pasta\n- 1 lb crabmeat\n- 1 (28oz) can of tomatoes\n- 1 cup white wine","recipe_scaling","Ingredients for 10 servings:\n- 2.5 lbs pasta\n- 2.5 lbs crabmeat\n- 2.5 (28oz) cans of tomatoes (70oz)\n- 2.5 cups white wine"
"I'm making a hearty mushroom ragu. The recipe calls for a mix of mushrooms like cremini and shiitake. Can I use only white button mushrooms?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can use only white button mushrooms, but the flavor of your ragu will be much less complex and deep. Cremini and shiitake mushrooms provide a meatier texture and earthier, more savory flavors that are key to a rich ragu."" }"
"I've made a Cacio e Pepe, but my cheese has clumped into a solid mass instead of a creamy sauce. What did I likely do wrong?","missing_ingredient_identification","Your pan was likely **too hot**. The cheese should be tossed with the pasta and starchy water off the heat or on very low heat. High heat will cause the proteins in the cheese to tighten and clump instantly."
"Please scale this recipe for a roasted red pepper pasta sauce from 2 lbs of peppers down to 0.5 lbs of peppers.\n\nIngredients for 2 lbs peppers:\n- 2 lbs red bell peppers\n- 1/2 cup olive oil\n- 1 head of garlic","recipe_scaling","Ingredients for 0.5 lbs peppers:\n- 0.5 lbs red bell peppers\n- 2 tbsp olive oil\n- 1/4 head of garlic (3-4 cloves)"
"For a traditional Bolognese sauce, what is the minimum number of hours it should simmer to develop deep flavor?","time","3"
"What is the ideal oven temperature in Celsius for baking a classic lasagna until bubbly and cooked through?","temperature","190"
"As a 'primo piatto' (first course) in Italy, how many grams of dry pasta is a typical serving size per person?","quantity_ingredient","80"
"How many minutes should you render 100g of diced guanciale over medium-low heat until it is crisp for a carbonara?","time","15"
"What is the ideal internal temperature in Fahrenheit a baked manicotti should reach to be considered safely cooked?","temperature","165"
"How many large egg yolks are typically used to make a rich, fresh pasta dough with 100 grams of '00' flour?","quantity_ingredient","2"
"How many minutes should you cook very thin pasta like capellini (angel hair) in boiling water?","time","3"
"To properly cook out the raw flour taste in a béchamel sauce for lasagna, it should be held at a simmer for at least how many minutes?","time","5"
"What is the standard temperature in Fahrenheit for deep-frying breaded ravioli until golden brown?","temperature","350"
"How many grams of Parmigiano-Reggiano cheese are needed to produce approximately 1 cup of finely grated cheese?","quantity_ingredient","100"
"How many minutes should you sauté a soffritto (onion, carrot, celery) for a ragu until it's soft and fragrant?","time","20"
"For an authentic Pesto alla Genovese serving 4, what is the typical number of garlic cloves used?","quantity_ingredient","2"
"What is the ideal temperature in Celsius for resting fresh pasta dough to relax the gluten?","temperature","21"
"How long in seconds should you toast black peppercorns in a dry pan for Cacio e Pepe to release their aroma?","time","45"
"How many anchovy fillets are typically used in a Puttanesca sauce that serves two people?","quantity_ingredient","4"
"After baking, a lasagna should rest for a minimum of how many minutes before slicing to ensure it holds its shape?","time","15"
"What is the ideal temperature in Fahrenheit for serving a cold pasta salad?","temperature","40"
"How many tablespoons of extra virgin olive oil are used per 100g of pasta for a simple Aglio e Olio?","quantity_ingredient","2"
"How long should fresh gnocchi be cooked after they float to the surface of the boiling water, in minutes?","time","1"
"What is the oven temperature in Celsius for the final stage of baking a pasta al forno to get a crispy cheese crust?","temperature","220"
"How many sheets of fresh lasagna are typically needed for a 5-layer, 9x13 inch lasagna?","quantity_ingredient","15"
"How many minutes should you boil fresh spinach before squeezing and adding it to a ricotta filling for ravioli?","time","1"
"For a classic 'Soffritto', the ratio of onion to carrot to celery is typically 2:1:1. If you use 200g of onion, how many grams of celery should you use?","quantity_ingredient","100"
"What is the maximum temperature in Celsius that an egg-based carbonara sauce should reach to avoid scrambling?","temperature","82"
"How many hours should a slow-cooker bolognese be cooked on low?","time","8"
"How many grams of fine sea salt are typically added to a fresh pasta dough recipe using 400g of flour?","quantity_ingredient","5"
"After adding pasta to boiling water, the temperature drops. How many minutes does it typically take to return to a full boil?","time","2"
"What is the standard water to '00' flour ratio by weight for an eggless pasta dough? Answer with the water part if flour is 2 parts.","quantity_ingredient","1"
"How many minutes should stuffed shells bake in a 190°C (375°F) oven?","time","30"
"What is the temperature in Fahrenheit for keeping a finished pasta sauce warm for service without overcooking it?","temperature","160"
"How many milliliters of white wine are used to deglaze a pan for a Vongole sauce for two people?","quantity_ingredient","100"
"How long, in days, can a fresh, uncooked egg pasta be stored in the refrigerator?","time","2"
"How many grams of basil are in a standard grocery store clamshell package, enough for a small batch of pesto?","quantity_ingredient","28"
"What temperature in Celsius should the water be for washing fresh clams to encourage them to expel sand?","temperature","15"
"How many minutes should you cook dried cannelloni tubes before stuffing and baking them?","time","5"
"For a spicy Arrabbiata sauce, how many whole dried peperoncini are typically used for a 4-person serving?","quantity_ingredient","3"
"What is the oven temperature in Fahrenheit used to slowly dry out fresh pasta until it is shelf-stable?","temperature","130"
"How many minutes does it take for a frozen lasagna to cook in a microwave?","time","12"
"How many grams of ricotta are used to fill one large cannolo shell for a savory pasta dish?","quantity_ingredient","50"
"What is the minimum percentage of egg yolk by weight for a dough to be considered a rich 'pasta gialla'?","quantity_ingredient","30"
"How many hours should you let a fully assembled, unbaked lasagna rest in the fridge before baking for better flavor melding?","time","12"
"How many tablespoons of capers are typically added to a Puttanesca sauce for four people?","quantity_ingredient","2"
"What is the ideal temperature in Celsius for proofing a yeast-based pasta dough, like for a fried pizza 'montanara'?","temperature","27"
"How many minutes should you boil a fresh lobster before removing the meat for a lobster pasta dish?","time","8"
"How many grams of 'nduja, a spicy spreadable salami, are needed to flavor a pasta dish for two?","quantity_ingredient","40"
"How long should you let pasta cool before adding it to a mayonnaise-based pasta salad, in minutes?","time","20"
"What temperature in Fahrenheit should oil be for pan-frying gnocchi after boiling?","temperature","375"
"How many grams of pine nuts are in a standard 1/2 cup measure for making pesto?","quantity_ingredient","70"
"How many hours should a Genovese meat sauce (not to be confused with pesto) simmer for?","time","4"
"What is the ideal water temperature in Fahrenheit for soaking dried porcini mushrooms for a pasta sauce?","temperature","180"
"I'm making Pasta con le Sarde. I have sardines, pasta, and pine nuts. What is the wild, licorice-flavored herb essential to this Sicilian dish?","missing_ingredient_identification","You are missing wild **fennel**. Its fresh fronds and tender stems provide the signature aromatic flavor of the dish."
"A recipe for Pizzoccheri, a buckwheat pasta dish, calls for Valtellina Casera cheese. Can I use a mix of Gruyère and Parmesan instead?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, a mix of Gruyère and Parmesan is a good substitute. It will mimic the melting quality of Gruyère and the nutty, salty flavor of Parmesan, approximating the profile of Valtellina Casera."" }"
"Please scale this recipe for 'pangrattato' (crispy breadcrumbs) from a topping for 2 people up to a topping for 8.\n\nIngredients for 2 servings:\n- 1/2 cup coarse breadcrumbs\n- 2 tbsp olive oil\n- 1 clove garlic","recipe_scaling","Ingredients for 8 servings:\n- 2 cups coarse breadcrumbs\n- 1/2 cup olive oil\n- 4 cloves garlic"
"What is the ideal internal temperature in Celsius that a baked cannelloni filled with ricotta and spinach should reach?","temperature","75"
"How many grams of buckwheat flour are typically mixed with 100g of '00' flour to make traditional Pizzoccheri pasta?","quantity_ingredient","400"
"How many minutes should a simple tomato sauce be simmered to reduce by about a quarter and thicken?","time","25"
"My pasta dough made with 100% whole wheat flour is very tough. What ingredient am I missing to soften the texture?","missing_ingredient_identification","You are likely missing a higher ratio of **fat** or **liquid**, like an extra egg yolk or a tablespoon of olive oil. Whole wheat flour absorbs more moisture and has a coarser texture, so it requires more enrichment to become tender."
"I'm making a fresh spinach pasta dough. The recipe calls for blanched, squeezed spinach. Can I use raw, finely chopped spinach instead?","substitution_validation","{ ""valid"": false, ""explanation"": ""No, this is not a good substitution. Raw spinach contains a high amount of water that will be released during kneading and resting, making your dough wet and sticky. Blanching and squeezing removes this excess water."" }"
"Please scale this recipe for a simple aglio, olio e peperoncino from 2 servings up to 5 servings.\n\nIngredients for 2 servings:\n- 200g spaghetti\n- 4 cloves garlic\n- 4 tbsp olive oil\n- 1 peperoncino (chili)","recipe_scaling","Ingredients for 5 servings:\n- 500g spaghetti\n- 10 cloves garlic\n- 10 tbsp olive oil\n- 2-3 peperoncini (chili)"
"What is the minimum number of saffron threads needed to infuse a pasta sauce for 4 people with distinct color and aroma?","quantity_ingredient","20"
"How many minutes should a filled and sealed fresh raviolo be boiled?","time","4"
"What is the temperature in Fahrenheit for a 'slow and low' oven to braise a tough meat ragu for several hours?","temperature","300"
"I am making a béchamel sauce, but I am lactose intolerant. Can I use unsweetened almond milk instead of regular milk?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can use unsweetened almond milk, but the resulting béchamel will be thinner and have a less rich, slightly nutty flavor. You may need to use a bit more roux (butter and flour) to achieve the desired thickness."" }"
"My pasta dish with clams has a gritty texture. I washed the clams in cold water. What ingredient did I forget to add to the water to help the clams purge their sand?","missing_ingredient_identification","You forgot to add **salt** or **cornmeal** to the water. Soaking clams in salted water for about an hour mimics their natural environment and encourages them to filter out any internal sand."
"Please scale the filling for 50 small ravioli down to make just 20.\n\nIngredients for 50 ravioli:\n- 2 cups ricotta cheese\n- 1 cup grated Parmesan\n- 1 egg","recipe_scaling","Ingredients for 20 ravioli:\n- 0.8 cups ricotta cheese (approx. 4/5 cup)\n- 0.4 cups grated Parmesan (approx. 2/5 cup)\n- 1 egg yolk (or half a beaten egg)"
"How many potatoes (by weight, in grams) are needed to make a batch of gnocchi for 4 people?","quantity_ingredient","1000"
"After making gnocchi dough, how many minutes should it rest before you roll and cut it?","time","10"
"What is the ideal temperature in Celsius for serving a room-temperature pasta dish, like a Sicilian pasta with pesto and green beans?","temperature","22"
"My recipe for Pasta alla Zozzona (a rich Roman dish) calls for both guanciale and Italian sausage. Can I use only guanciale?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can use only guanciale. The dish will still be delicious and very rich, essentially becoming a classic Carbonara. You will miss the fennel and herb notes from the sausage that makes the 'Zozzona' unique."" }"
"I am making Calamarata pasta with a calamari and tomato sauce. The calamari rings came out tough and rubbery. What was my likely cooking time error?","missing_ingredient_identification","You likely had a **cooking time** error. Calamari must be cooked either very quickly (for 1-2 minutes) to remain tender, or for a long time (over 30 minutes) to break down its connective tissues. Anything in between will result in a tough, rubbery texture."
"Please scale this recipe for a lentil ragu for 4 people up to a large batch for 12 people.\n\nIngredients for 4 servings:\n- 1 cup brown lentils\n- 1 (28oz) can tomatoes\n- 4 cups vegetable broth","recipe_scaling","Ingredients for 12 servings:\n- 3 cups brown lentils\n- 3 (28oz) cans tomatoes\n- 12 cups vegetable broth"
"How many tablespoons of capers should be used for a Chicken Piccata sauce served over angel hair pasta for four people?","quantity_ingredient","3"
"How many minutes should you let a béchamel sauce cool before stirring in cheese to prevent it from becoming grainy?","time","5"
"What is the highest temperature in Fahrenheit a home oven can typically reach, used for making pizza on a stone?","temperature","550"
"I'm making a pasta sauce that calls for dry Marsala wine. Can I use a dry white wine like Sauvignon Blanc instead?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, you can substitute a dry white wine. However, Marsala has a deeper, more complex, and slightly nutty flavor. The Sauvignon Blanc will contribute acidity and a brighter, more herbal note."" }"
"I am making a simple pasta dish with browned butter. The butter foamed up but then turned black and smelled burnt. What did I fail to add to stop the cooking process?","missing_ingredient_identification","You failed to add a **cooler ingredient** at the right moment. Once the butter is browned and nutty, you should immediately add your herbs (like sage), a splash of pasta water, or the pasta itself to the pan to stop the browning process before it burns."
"Please scale this cold pasta salad vinaigrette recipe from 1 cup up to 4 cups.\n\nIngredients for 1 cup vinaigrette:\n- 3/4 cup olive oil\n- 1/4 cup white wine vinegar\n- 1 tbsp Dijon mustard","recipe_scaling","Ingredients for 4 cups vinaigrette:\n- 3 cups olive oil\n- 1 cup white wine vinegar\n- 1/4 cup Dijon mustard"
"How many grams of salt are typically in one tablespoon of kosher salt, used for seasoning pasta water?","quantity_ingredient","15"
"What is the maximum time in minutes that pasta should be held in an ice bath to stop the cooking process for a pasta salad?","time","1"
"What is the ideal temperature in Celsius of the water used to make a semolina and water pasta dough?","temperature","40"
"A recipe for baked cannelloni calls for a topping of Parmigiano-Reggiano. I only have Pecorino Romano. Will this be a good substitute?","substitution_validation","{ ""valid"": true, ""explanation"": ""Yes, Pecorino Romano is a good substitute, but be aware that it is significantly saltier and sharper than Parmigiano. You may want to slightly reduce the salt in your filling or sauce to compensate."" }"
"I'm making a pasta dish where the sauce is a simple emulsion of butter and pasta water ('al burro'). My sauce is greasy. What key step did I likely miss?","missing_ingredient_identification","You likely missed the step of **vigorously whisking or tossing** the pasta, butter, and water together. This agitation is crucial for creating a stable emulsion, where the starch from the water binds the fat and water together into a creamy sauce."
"Please scale this recipe for a roasted tomato sauce from 2 lbs of cherry tomatoes down to 1 lb.\n\nIngredients for 2 lbs of tomatoes:\n- 2 lbs cherry tomatoes\n- 1/2 cup olive oil\n- 1 entire head of garlic","recipe_scaling","Ingredients for 1 lb of tomatoes:\n- 1 lb cherry tomatoes\n- 1/4 cup olive oil\n- 1/2 head of garlic"
"How many grams of 'nduja (spicy spreadable sausage) are needed to make a fiery sauce for 500g of pasta?","quantity_ingredient","100"
"How many minutes should you cook broccoli rabe in boiling salted water before adding it to a pasta dish?","time","3"
